# Old.Mean, Old.Lower, Old.Upper, Young.Mean, Young.Lower, Young.Upper
1.708808471448719501e-03,7.408332898251046837e-08,1.389671319629996564e-02,1.106791387428529561e-04,1.357717382965972774e-08,1.198505636421026872e-03
1.022166982293128967e-01,2.495222017168998579e-02,2.192062318325042058e-01,1.099205091595649719e-01,4.329730598255992352e-02,1.904758412390946953e-01
1.456089615821838379e-01,5.141676077619194984e-02,2.650631196796893185e-01,1.189410984516143799e-01,3.109010607004165580e-02,2.154951348900794594e-01
2.222263962030410767e-01,1.005557972937822231e-01,3.704380013048648168e-01,1.550643891096115112e-01,7.384497597813606540e-02,2.616848535835742395e-01
1.111399829387664795e-01,3.697837935760617256e-02,2.255824875086545889e-01,1.204480379819869995e-01,4.529552496969699305e-02,2.038531534373760057e-01
6.664931774139404297e-02,8.708371804095805038e-03,1.430689007043838001e-01,8.428069949150085449e-02,2.866389923729002406e-02,1.536589153110980988e-01
4.436633363366127014e-02,1.888519831118174027e-03,1.055534543469548031e-01,7.389397919178009033e-02,2.486058007925748617e-02,1.521016862243412815e-01
4.953813552856445312e-02,1.170842996798455646e-02,1.245533619076013149e-01,6.801491230726242065e-02,2.286224914714693815e-02,1.343683980405330491e-01
2.399398013949394226e-02,4.426161374431102948e-03,6.309800799936055027e-02,4.539840295910835266e-02,1.457556711975485121e-02,9.347849171608681174e-02
3.481428697705268860e-02,1.591086603002622680e-03,9.465010967105626227e-02,3.969512507319450378e-02,1.427911657374352113e-02,7.884433306753632631e-02
7.600004225969314575e-02,1.824131994508207052e-02,1.605152212083339469e-01,3.038088232278823853e-02,1.937967937556095335e-03,7.225823495537041230e-02
4.133388400077819824e-02,8.829365018755197525e-03,9.739326629787681266e-02,4.286807775497436523e-02,1.112568713724613155e-02,8.764620535075662300e-02
3.041154704988002777e-02,5.612250103149562727e-03,8.324337359517809676e-02,2.835518307983875275e-02,4.914414219092578043e-03,6.521570030599831147e-02
1.632110029458999634e-02,1.883337230538018048e-03,5.761751560494300650e-02,1.448174379765987396e-02,1.063647546106949405e-03,4.120345050469036152e-02
1.026437524706125259e-02,1.534380269004032059e-03,3.483646390959619504e-02,1.305397320538759232e-02,1.514658468659035731e-03,4.354646857827897122e-02
7.630659732967615128e-03,5.738215273595414188e-04,2.607333953492342940e-02,8.099856786429882050e-03,7.403971161693334363e-04,2.721331031061708858e-02
2.380028367042541504e-03,3.478003560530850992e-06,1.168973960448055176e-02,6.302399095147848129e-03,7.597713352879508462e-04,2.001101970672607144e-02
9.662010706961154938e-04,7.078608484789583938e-06,4.850376665126529367e-03,1.128900237381458282e-02,2.266885631252080289e-03,3.055062070488929332e-02
9.116480359807610512e-04,1.526200762782536709e-05,4.291480453684911114e-03,1.002168562263250351e-02,1.253853569505736275e-03,2.869801498018202668e-02
1.330157974734902382e-03,1.580770840519107810e-05,7.210140780080109314e-03,1.018238812685012817e-02,1.900642708642408338e-03,3.288197098299856791e-02
9.642610675655305386e-04,5.248099876098422440e-06,5.393618834204957913e-03,3.782373154535889626e-03,4.294557249522767853e-04,1.330505320802329201e-02
8.336503524333238602e-04,1.503292628513008695e-06,5.884965660516161545e-03,1.732915407046675682e-03,5.029517333241528696e-05,7.939874916337423885e-03
6.617785547859966755e-04,1.756929091101255835e-07,4.471874225419014866e-03,6.952519179321825504e-04,2.285104596921882719e-05,2.984692179597912658e-03
6.512489053420722485e-04,3.671401339033764004e-06,3.219834860647085694e-03,3.317301743663847446e-04,1.384424372190551299e-05,1.553253526799378307e-03
1.277125789783895016e-03,4.190891149846720509e-05,7.506305864080769184e-03,3.321783733554184437e-04,1.477397258895507582e-05,1.708896685158833645e-03
1.381294569000601768e-03,4.936012892358121056e-05,5.834235227666794386e-03,3.262830723542720079e-04,6.645274731909012528e-06,1.505476949387229806e-03
1.545299892313778400e-03,9.406981298525350947e-05,6.871218292508268592e-03,7.231025956571102142e-04,3.946148535760585388e-06,4.798390471842133541e-03
1.655935775488615036e-03,8.681138592692149591e-06,1.000592818018048759e-02,9.472308447584509850e-04,1.570985099874633433e-06,4.694815457332870978e-03
1.148836337961256504e-03,1.584104221130644353e-08,8.224598225206134622e-03,3.155564190819859505e-04,1.971080450857698399e-07,2.425117278471589175e-03
6.854418461443856359e-05,2.860147955266781985e-14,6.497169539215971474e-04,9.983494237530976534e-06,1.046707601777725760e-12,9.067442533705608238e-05
